@RELATION fake_profile
@ATTRIBUTE statuses_count  NUMERIC
@ATTRIBUTE followers_count  NUMERIC
@ATTRIBUTE friends_count  NUMERIC
@ATTRIBUTE favourites_count  NUMERIC
@ATTRIBUTE fake_profile {True,False}
@DATA
24,4,588,16, True
656,57,693,597, True
1234,15,104,1150, True
573,14,227,530, True
675,18,519,653, True
1333,73,1998,1262, True
99,26,1548,80, True
553,63,1930,497, True
1576,8,501,1402, True
1378,48,1998,1108, True
1444,35,390,1283, True
1351,7,328,1273, True
43,17,641,0, True
50,20,630,0, True
68,22,602,0, True
60,14,592,0, True
52,27,620,0, True
67,32,639,0, True
44,21,614,0, True
66,23,650,0, True
56,20,643,0, True
65,23,641,0, True
79,20,779,0, True
59,16,622,0, True
64,15,649,0, True
81,29,756,0, True
62,25,600,0, True
70,22,621,0, True
52,19,735,0, True
69,25,625,0, True
57,20,621,0, True
45,12,638,0, True
57,16,631,0, True
66,29,623,0, True
56,19,686,0, True
59,24,619,0, True
58,23,603,0, True
57,27,602,0, True
55,21,614,0, True
59,16,599,0, True
63,20,663,0, True
62,24,598,0, True
54,16,637,0, True
56,17,684,0, True
42,21,609,0, True
78,28,732,0, True
62,16,630,0, True
59,17,654,0, True
54,18,638,0, True
63,27,652,0, True
48,23,599,0, True
69,20,652,0, True
61,22,609,0, True
81,23,807,0, True
64,24,638,0, True
63,26,593,0, True
62,22,671,0, True
57,29,673,0, True
63,20,630,0, True
66,20,722,0, True
61,17,610,0, True
70,24,655,0, True
60,12,572,0, True
70,27,669,0, True
65,20,610,0, True
62,42,651,0, True
83,27,801,0, True
54,31,599,0, True
158,30,1221,0, True
53,22,589,0, True
66,30,748,0, True
61,23,721,0, True
56,27,585,0, True
67,21,639,0, True
53,26,504,0, True
81,26,703,0, True
66,11,615,0, True
56,23,641,0, True
66,22,581,0, True
56,19,681,1, True
64,19,594,0, True
58,35,665,0, True
72,25,564,0, True
77,21,581,0, True
60,19,606,0, True
60,28,579,0, True
65,27,617,0, True
66,25,731,0, True
69,24,645,0, True
63,32,603,0, True
59,13,542,0, True
57,13,568,0, True
75,22,578,0, True
61,18,624,0, True
72,34,685,0, True
56,19,599,0, True
45,26,596,0, True
54,26,629,0, True
52,18,608,0, True
53,11,586,0, True
63,31,507,0, True
54,24,672,0, True
54,17,558,0, True
65,25,742,0, True
46,16,591,0, True
48,28,582,0, True
58,15,616,0, True
61,23,635,0, True
60,18,625,0, True
61,16,688,0, True
80,23,589,0, True
56,21,550,0, True
70,26,709,1, True
71,20,528,0, True
58,19,583,0, True
107,33,1002,0, True
68,30,560,0, True
54,24,592,0, True
37,23,559,0, True
53,22,622,0, True
67,24,678,0, True
46,24,589,0, True
60,27,566,0, True
58,26,559,0, True
48,20,590,0, True
65,23,590,0, True
56,22,541,0, True
55,27,617,0, True
75,21,592,0, True
50,23,556,0, True
51,12,503,0, True
45,22,509,0, True
45,27,702,0, True
78,25,752,0, True
55,34,574,0, True
39,24,526,0, True
65,26,550,0, True
44,20,562,0, True
60,23,577,0, True
55,28,611,0, True
65,25,639,0, True
47,16,552,0, True
67,23,684,0, True
69,27,698,0, True
59,20,618,0, True
41,15,558,0, True
56,20,734,0, True
44,22,572,0, True
72,21,721,0, True
52,25,527,0, True
59,24,656,0, True
70,22,639,0, True
57,27,565,0, True
55,22,511,0, True
57,21,579,0, True
51,25,623,0, True
65,23,640,0, True
56,26,496,0, True
63,21,654,0, True
47,17,609,0, True
60,25,561,0, True
68,18,606,0, True
64,24,721,0, True
69,26,587,0, True
61,27,782,0, True
96,38,827,0, True
50,19,506,0, True
67,27,703,0, True
67,19,624,0, True
56,26,611,0, True
54,18,551,0, True
46,22,575,0, True
46,15,542,0, True
66,27,653,0, True
38,16,515,0, True
42,12,535,0, True
64,25,626,0, True
66,22,637,0, True
69,24,712,0, True
55,15,543,0, True
56,27,511,0, True
54,23,470,0, True
